Enplanements,name,latitude,longitude,elevation_ft,local_code
1069565,McGhee Tyson Airport,35.811001,-83.994003,981,TYS
1062873,Portland International Jetport,43.646198,-70.309303,76,PWM
1043185,Dane County Regional Truax Field,43.1399,-89.337502,887,MSN
1031258,Bill & Hillary Clinton National Airport/Adams Field,34.729582,-92.223728,262,LIT
972081,Pensacola International Airport,30.4734,-87.1866,121,PNS
938593,Piedmont Triad International Airport,36.097801,-79.937302,925,GSO
911225,Manchester-Boston Regional Airport,42.932598,-71.435699,266,MHT
858022,James M Cox Dayton International Airport,39.902401,-84.219398,1009,DAY
853538,Fresno Yosemite International Airport,36.776199,-119.718002,336,FAT
845742,City of Colorado Springs Municipal Airport,38.805801,-104.700996,6187,COS
812252,Wichita Eisenhower National Airport,37.649899,-97.433098,1333,ICT
811535,Long Island Mac Arthur Airport,40.79520035,-73.10019684,99,ISP
789283,Westchester County Airport,41.06700134,-73.70760345,439,HPN
787022,Charlotte County Airport,26.9202,-81.990501,26,PGD
759127,Northwest Arkansas Regional Airport,36.281898,-94.306801,1287,XNA
685001,Sarasota Bradenton International Airport,27.395399,-82.554398,30,SRQ
683759,Destin-Fort Walton Beach Airport,30.4832,-86.525398,87,VPS
670295,Gallatin Field,45.77750015,-111.1529999,4473,BZN
658879,Burlington International Airport,44.471901,-73.153297,335,BTV
657018,Blue Grass Airport,38.036499,-84.605904,979,LEX
636756,Harrisburg International Airport,40.19350052,-76.76339722,310,MDT
618794,Midland International Airport,31.94249916,-102.2020035,2871,MAF
602058,The Eastern Iowa Airport,41.884701,-91.7108,869,CID
599148,Hilo International Airport,19.721399,-155.048004,38,ITO
580932,Huntsville International Carl T Jones Field,34.637199,-86.775101,629,HSV
573206,Asheville Regional Airport,35.436199,-82.541801,2165,AVL
568958,Atlantic City International Airport,39.45759964,-74.57720184,75,ACY
566832,Mahlon Sweet Field,44.12459946,-123.211998,374,EUG
566660,Columbia Metropolitan Airport,33.938801,-81.119499,236,CAE
549289,Fairbanks International Airport,64.81510162,-147.8560028,439,FAI
529895,Sioux Falls Regional Airport / Joe Foss Field,43.585463,-96.741152,1429,FSD
523108,Springfield Branson National Airport,37.245701,-93.388603,1268,SGF
512423,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,ECP
504833,Chattanooga Metropolitan Airport (Lovell Field),35.035301,-85.203796,683,CHA
492217,Rogue Valley International Medford Airport,42.37419891,-122.8730011,1335,MFR
489454,Jackson-Medgar Wiley Evers International Airport,32.311199,-90.075897,346,JAN
484010,Lubbock Preston Smith International Airport,33.663601,-101.822998,3282,LBB
468816,Wilmington International Airport,34.27059937,-77.90260315,32,ILM
449731,Akron Canton Regional Airport,40.91609955,-81.44219971,1228,CAK
446005,Key West International Airport,24.556101,-81.759598,3,EYW
440277,Juneau International Airport,58.35499954,-134.576004,21,JNU
440263,Billings Logan International Airport,45.807701,-108.542999,3652,BIL
430562,Roberts Field,44.2541008,-121.1500015,3080,RDM
429667,Hector International Airport,46.92070007,-96.81580353,902,FAR
425563,Missoula International Airport,46.91630173,-114.0910034,3206,MSO
417871,Cyril E. King Airport,18.337091,-64.977251,23,STT
404349,Trenton Mercer Airport,40.27669907,-74.81349945,213,TTN
403745,Santa Barbara Municipal Airport,34.42620087,-119.8399963,13,SBA
395348,Tri Cities Airport,46.26470184,-119.1190033,410,PSC
390107,Baton Rouge Metropolitan Airport,30.533199,-91.149597,70,BTR
384136,Tallahassee Regional Airport,30.3965,-84.350304,81,TLH
381539,Jackson Hole Airport,43.6072998,-110.737999,6451,JAC
376468,Lehigh Valley International Airport,40.651773,-75.442797,393,ABE
372030,Fort Wayne International Airport,40.9785,-85.195099,814,FWA
368186,Bellingham International Airport,48.7928009,-122.538002,170,BLI
366967,Daytona Beach International Airport,29.179899,-81.058098,34,DAB
366617,South Bend Regional Airport,41.708698,-86.317299,799,SBN
361709,Bishop International Airport,42.9654007,-83.74359894,782,FNT
359055,Gulfport Biloxi International Airport,30.407301,-89.070099,28,GPT
355705,Rick Husband Amarillo International Airport,35.219398,-101.706001,3607,AMA
355241,Quad City International Airport,41.448502,-90.5075,590,MLI
354869,New York Stewart International Airport,41.504101,-74.104797,491,SWF
352816,Charlottesville Albemarle Airport,38.1385994,-78.45290375,639,CHO
348026,Appleton International Airport,44.2580986,-88.51909637,918,ATW
347440,McAllen Miller International Airport,26.176141,-98.237965,107,MFE
336410,Bangor International Airport,44.8074,-68.828102,192,BGR
332499,Corpus Christi International Airport,27.770399,-97.501198,44,CRP
330063,Roanoke–Blacksburg Regional Airport,37.3255,-79.975403,1175,ROA
328769,General Wayne A. Downing Peoria International Airport,40.6642,-89.693298,660,PIA
314909,Austin Straubel International Airport,44.483459,-88.130805,695,GRB
